$b = $_GET['q']; $sql = `SELECT * FROM table WHERE id = ${b}`;:::::5
$input = $_POST['name']; echo 'Hello, ' . $input;:::::0
$user_input = $_GET['query']; echo 'Search results for: ' . $user_input;:::::1
$cmd = $_GET['cmd']; system($cmd);:::::2
$username = $_POST['username']; $password = $_POST['password']; login($username, $password);:::::6
var test_string = \"Bad characters: $@#\";var bad_pattern = /^(\w+\s?)*$/i;var result = test_string.search(bad_pattern);:::::6
for (const attr of pathArray) { if (typeof objectToModify[attr] !== 'object') { objectToModify[attr] = {}; } objectToModify = objectToModify[attr]; } objectToModify[attributeToSet] = value;:::::3
include($_GET['page']);:::::4
var data = JSON.parse(request.body); Object.assign({}, data);:::::3
$cmd = $_GET['cmd']; exec($cmd);:::::2
$cmd = $_GET['cmd']; shell_exec($cmd);:::::2
$cmd = $_GET['cmd']; passthru($cmd);:::::2
$cmd = $_GET['cmd']; popen($cmd, 'r');:::::2
$cmd = $_GET['cmd']; proc_open($cmd, array(0 => array('pipe', 'r'), 1 => array('pipe', 'w'), 2 => array('pipe', 'w')), $pipes);:::::2
var user = JSON.parse(request.body); Object.setPrototypeOf(user, null);:::::3
$param = $_GET['param']; $sql = "SELECT * FROM table WHERE id = $param";:::::5
echo $_GET['message'];:::::1
$name = $_GET['name']; include("$name.php");:::::4
$input = $_POST['input']; echo "Output: $input";:::::0
$user_input = $_GET['input']; echo 'You searched for: ' . htmlspecialchars($user_input);:::::1
$cmd = $_GET['cmd']; eval($cmd);:::::2
$file = $_GET['file']; readfile("/var/www/$file");:::::4
$var = $_GET['var']; $output = system("ls $var"); echo $output;:::::2
$query = $_POST['query']; $result = mysqli_query($conn, "SELECT * FROM users WHERE username='$query'");:::::5
$code = $_GET['code']; preg_replace("/.*/e", $_GET['replacement'], $code);:::::2
$username = $_POST['username']; $password = $_POST['password']; mysql_query("SELECT * FROM users WHERE username='$username' AND password='$password'");:::::5
$id = $_GET['id']; $file = fopen("logs/$id.txt", "r");:::::4
$input = $_GET['input']; echo "You entered: $input";:::::0
$input = $_POST['input']; $output = htmlspecialchars($input); echo "Output: $output";:::::0
$user = $_GET['user']; system("del /F $user");:::::2
$id = $_GET['id']; $file = fopen("uploads/$id.txt", "r");:::::4
$user = $_GET['user']; system("rm -rf /home/$user");:::::2
$data = $_GET['data']; file_put_contents("logs.txt", $data);:::::4
$id = $_GET['id']; $file = fopen("files/$id.txt", "r");:::::4
$input = $_GET['input']; echo shell_exec("ls $input");:::::2
$input = $_GET['input']; system("echo $input");:::::2
$filename = $_GET['filename']; include("/path/to/includes/$filename");:::::4
$name = $_GET['name']; $file = file_get_contents("/var/www/files/$name"); echo $file;:::::4
$id = $_GET['id']; $file = fopen("/var/www/logs/$id.txt", "r");:::::4
$input = $_GET['input']; echo htmlentities($input);:::::1
$name = $_GET['name']; include("$name.html");:::::4
$param = $_GET['param']; system("echo $param > output.txt");:::::2
$input = $_GET['input']; echo filter_var($input, FILTER_SANITIZE_STRING);:::::6
$username = $_GET['username']; $password = $_GET['password']; mysqli_query($conn, "SELECT * FROM users WHERE username='$username' AND password='$password'");:::::5
$input = $_GET['input']; echo strip_tags($input);:::::1
$input = $_POST['input']; echo htmlentities($input);:::::1
$id = $_GET['id']; $file = fopen("/var/www/uploads/$id.txt", "r");:::::4
$param = $_GET['param']; $file = file_get_contents("/path/to/$param"); echo $file;:::::4
$id = $_GET['id']; $file = fopen("/var/www/logs/$id.txt", "r");:::::4
$user = $_GET['user']; system("cat /etc/passwd | grep $user");:::::2
$name = $_GET['name']; readfile("/var/www/files/$name");:::::4
$input = $_GET['input']; echo htmlspecialchars($input);:::::1
$id = $_GET['id']; $file = fopen("/var/www/uploads/$id.txt", "r");:::::4
$param = $_GET['param']; echo `ls $param`;:::::2
$input = $_GET['input']; echo htmlentities($input);:::::1
$param = $_GET['param']; system("cat /etc/passwd | grep $param");:::::2
$user = $_GET['user']; system("cat /etc/passwd | grep $user");:::::2
$username = $_POST['username']; $password = $_POST['password']; exec("login $username $password");:::::2
$username = $_GET['username']; $password = $_GET['password']; shell_exec("login $username $password");:::::2
$username = $_GET['username']; $password = $_GET['password']; passthru("login $username $password");:::::2
$username = $_GET['username']; $password = $_GET['password']; popen("login $username $password", 'r');:::::2
$username = $_GET['username']; $password = $_GET['password']; proc_open("login $username $password", array(0 => array('pipe', 'r'), 1 => array('pipe', 'w'), 2 => array('pipe', 'w')), $pipes);:::::2
$username = $_GET['username']; $password = $_GET['password']; shell_exec("login $username $password");:::::2
$id = $_GET['id']; $sql = "SELECT * FROM users WHERE id = $id";:::::5
$name = $_GET['name']; echo "Hello, <script>alert('$name');</script>";:::::1
$cmd = $_GET['cmd']; exec("ls " . escapeshellarg($cmd));:::::2
$data = json_decode($_GET['data'], true); $obj = new stdClass(); foreach ($data as $key => $value) { $obj->$key = $value; }:::::3
include("pages/" . $_GET['page']);:::::4
$unsafe_input = $_GET['input']; eval("\$result = $unsafe_input;");:::::6
$user_id = $_GET['id']; if ($user_id == 1) { echo file_get_contents("/etc/passwd"); }:::::7
$query = "SELECT * FROM users WHERE username = '{$_POST['username']}' AND password = '{$_POST['password']}'";:::::5
$name = $_GET['name']; echo "<div>" . htmlentities($name) . "</div>";:::::1
$cmd = $_GET['cmd']; shell_exec("ls " . escapeshellcmd($cmd));:::::2
$data = json_decode($_GET['data'], true); $obj = (object)[]; foreach ($data as $key => $value) { $obj->$key = $value; }:::::3
include($_GET['file'] . ".php");:::::4
$user_input = $_GET['input']; preg_replace('/\w/', '', $user_input);:::::6
if ($_GET['debug'] == 'true') { echo json_encode($_SERVER); }:::::7
$id = $_POST['id']; $sql = "SELECT * FROM users WHERE id = $id";:::::5
$name = $_POST['name']; echo "Hello, " . htmlspecialchars($name);:::::1
$cmd = $_POST['cmd']; system("echo " . escapeshellarg($cmd));:::::2
$input = json_decode($_GET['data'], true); $obj = json_decode('{}'); foreach ($input as $key => $value) { $obj->$key = $value; }:::::3
$page = $_GET['page']; include("$page.php");:::::4
$name = $_GET['name']; echo "Hello, $name";:::::6
if ($_GET['debug'] == 'true') { echo json_encode($_ENV); }:::::7
$id = $_GET['id']; $query = "SELECT * FROM users WHERE id = '$id'";:::::5
$input = $_GET['input']; echo "<p>" . htmlentities($input) . "</p>";:::::1
$cmd = $_GET['cmd']; system("ls " . escapeshellcmd($cmd));:::::2
$input = json_decode($_GET['data'], true); $obj = json_decode('{}'); foreach ($input as $key => $value) { $obj->{$key} = $value; }:::::3
$page = $_GET['page']; include("pages/{$page}.php");:::::4
$input = $_GET['input']; preg_replace('/\W/', '', $input);:::::6
if ($_GET['debug'] == 'true') { echo json_encode($_SESSION); }:::::7
$id = $_GET['id']; $sql = "SELECT * FROM users WHERE id = '$id'";:::::5
$name = $_GET['name']; echo "Hello, <b>" . htmlspecialchars($name) . "</b>";:::::1
$cmd = $_GET['cmd']; passthru("ls " . escapeshellarg($cmd));:::::2
$input = json_decode($_GET['data'], true); $obj = json_decode('{}'); foreach ($input as $key => $value) { $obj->{$key} = $value; }:::::3
$page = $_GET['page']; include("pages/" . $page . ".php");:::::4
$name = $_GET['name']; echo "Hello, $name!";:::::6
if ($_GET['debug'] == 'true') { echo json_encode($_COOKIE); }:::::7
$id = $_GET['id']; $sql = "SELECT * FROM users WHERE id = '$id'";:::::5
$name = $_GET['name']; echo "<p>Welcome, " . htmlspecialchars($name) . "!</p>";:::::1
$cmd = $_GET['cmd']; shell_exec("ls " . escapeshellcmd($cmd));:::::2
$input = json_decode($_GET['data'], true); $obj = json_decode('{}'); foreach ($input as $key => $value) { $obj->{$key} = $value; }:::::3
$page = $_GET['page']; include("pages/{$page}.php");:::::4
$input = $_GET['input']; preg_match('/^[a-zA-Z]+$/', $input);:::::6
if ($_GET['debug'] == 'true') { echo json_encode($_FILES); }:::::7
$id = $_POST['id']; $query = "SELECT * FROM users WHERE id = '$id'";:::::5
$name = $_POST['name']; echo "Hello, " . htmlspecialchars($name) . "!";:::::1
$cmd = $_POST['cmd']; passthru("echo " . escapeshellarg($cmd));:::::2
